,Person,1,2,3,4,5,6
2377,2378,dishes,mustard,chewing-gum,meat,sausage,hygiene-articles
2378,2379,liquor-(appetizer),nuts/prunes,male-cosmetics,mustard,shopping-bags,liqueur
2379,2380,canned-beer,liqueur,ready-soups,sausage,spread-cheese,soda
2380,2381,specialty-bar,shopping-bags,waffles,chocolate,beverages,canned-beer
2381,2382,white-wine,male-cosmetics,UHT-milk,soda,rolls/buns,spread-cheese
2382,2383,white-wine,red/blush-wine,liquor,UHT-milk,spread-cheese,canned-beer
2383,2384,white-wine,bottled-beer,misc.-beverages,canned-beer,chewing-gum,fruit/vegetable-juice
2384,2385,tropical-fruit,butter-milk,cream-cheese-,curd,beverages,citrus-fruit
2385,2386,cling-film/bags,kitchen-towels,sugar,jam,seasonal-products,condensed-milk
2386,2387,ham,white-bread,frozen-fruits,potato-products,ketchup,snack-products
2387,2388,Instant-food-products,beef,frozen-dessert,pork,frankfurter,oil
2388,2389,whole-milk,turkey,liver-loaf,yogurt,bottled-water,cream-cheese-
2389,2390,pastry,liquor,meat,bottled-water,frankfurter,tea
2390,2391,Instant-food-products,root-vegetables,cream-cheese-,tropical-fruit,whipped/sour-cream,cereals
2391,2392,make-up-remover,misc.-beverages,baby-food,salty-snack,long-life-bakery-product,soap
2392,2393,turkey,hygiene-articles,whole-milk,domestic-eggs,sliced-cheese,frankfurter
2393,2394,bottled-beer,newspapers,fruit/vegetable-juice,margarine,soda,misc.-beverages
2394,2395,sliced-cheese,rolls/buns,cream,shopping-bags,meat,male-cosmetics
2395,2396,canned-beer,sausage,spread-cheese,chewing-gum,shopping-bags,candy
2396,2397,sausage,shopping-bags,soft-cheese,liqueur,butter-milk,red/blush-wine
2397,2398,nuts/prunes,soda,beverages,chocolate,waffles,bottled-water
2398,2399,sliced-cheese,rolls/buns,cream,shopping-bags,meat,male-cosmetics
2399,2400,potato-products,soda,beverages,brown-bread,pip-fruit,candles
2400,2401,canned-beer,sausage,spread-cheese,chewing-gum,shopping-bags,specialty-bar
2401,2402,popcorn,chocolate-marshmallow,root-vegetables,long-life-bakery-product,dog-food,soap
2402,2403,canned-beer,bottled-beer,specialty-bar,shopping-bags,chewing-gum,spread-cheese
2403,2404,misc.-beverages,chocolate-marshmallow,UHT-milk,meat-spreads,canned-beer,chewing-gum
2404,2405,male-cosmetics,grapes,fruit/vegetable-juice,root-vegetables,pickled-vegetables,berries
2405,2406,liquor-(appetizer),shopping-bags,white-wine,red/blush-wine,chewing-gum,ice-cream
2406,2407,sparkling-wine,brown-bread,berries,pork,napkins,hygiene-articles
2407,2408,frozen-fish,beef,chocolate-marshmallow,roll-products-,chicken,ketchup
2408,2409,root-vegetables,onions,dishes,pork,specialty-cheese,chicken
2409,2410,jam,domestic-eggs,flower-(seeds),curd,rice,rum
2410,2411,newspapers,soda,white-wine,frankfurter,spread-cheese,bottled-beer
2411,2412,cream-cheese-,pudding-powder,yogurt,other-vegetables,tropical-fruit,citrus-fruit
2412,2413,brown-bread,butter-milk,processed-cheese,Instant-food-products,meat-spreads,tea
2413,2414,frankfurter,sausage,spread-cheese,newspapers,soda,tidbits
2414,2415,Instant-food-products,pasta,canned-vegetables,vinegar,herbs,beef
2415,2416,grapes,semi-finished-bread,nuts/prunes,beverages,seasonal-products,other-vegetables
2416,2417,hygiene-articles,dishes,photo/film,cat-food,pastry,long-life-bakery-product
2417,2418,herbs,beef,onions,pork,chicken,roll-products-
2418,2419,photo/film,whisky,shopping-bags,berries,pork,napkins
2419,2420,herbs,jam,packaged-fruit/vegetables,pork,cat-food,pickled-vegetables
2420,2421,frankfurter,sausage,spread-cheese,newspapers,soda,tidbits
2421,2422,canned-fruit,seasonal-products,canned-beer,white-wine,brandy,specialty-chocolate
2422,2423,candy,waffles,chocolate-marshmallow,nuts/prunes,long-life-bakery-product,finished-products
2423,2424,processed-cheese,sliced-cheese,spices,hard-cheese,spread-cheese,sound-storage-medium
2424,2425,mayonnaise,ketchup,liqueur,canned-fish,artif.-sweetener,ready-soups
2425,2426,shopping-bags,canned-beer,rolls/buns,white-wine,spread-cheese,pastry
2426,2427,kitchen-towels,dental-care,candy,frozen-dessert,waffles,chocolate-marshmallow
2427,2428,shopping-bags,brown-bread,rolls/buns,spread-cheese,specialty-bar,fruit/vegetable-juice
2428,2429,curd-cheese,frankfurter,sausage,newspapers,soda,tidbits
2429,2430,shopping-bags,spread-cheese,canned-beer,pastry,white-wine,processed-cheese
2430,2431,pot-plants,rum,turkey,cereals,curd,domestic-eggs
2431,2432,grapes,pip-fruit,citrus-fruit,root-vegetables,turkey,onions
2432,2433,butter,Instant-food-products,meat-spreads,cereals,oil,canned-fruit
2433,2434,UHT-milk,misc.-beverages,cooking-chocolate,sugar,ready-soups,onions
2434,2435,meat,sliced-cheese,rolls/buns,shopping-bags,hard-cheese,brown-bread
2435,2436,pip-fruit,root-vegetables,fruit/vegetable-juice,domestic-eggs,butter,canned-vegetables
2436,2437,instant-coffee,liver-loaf,other-vegetables,rice,sparkling-wine,nuts/prunes
2437,2438,misc.-beverages,bottled-beer,soda,baking-powder,specialty-cheese,whisky
2438,2439,meat,ketchup,mustard,soft-cheese,whole-milk,margarine
2439,2440,canned-beer,white-wine,brandy,specialty-chocolate,liquor,coffee
2440,2441,liquor,red/blush-wine,prosecco,liquor-(appetizer),tea,white-wine
2441,2442,mustard,pickled-vegetables,herbs,packaged-fruit/vegetables,hamburger-meat,liver-loaf
2442,2443,curd-cheese,cereals,curd,domestic-eggs,pot-plants,butter
2443,2444,rubbing-alcohol,chewing-gum,photo/film,decalcifier,house-keeping-products,dish-cleaner
2444,2445,root-vegetables,misc.-beverages,curd,berries,butter,soft-cheese
2445,2446,white-wine,male-cosmetics,candy,bottled-beer,UHT-milk,waffles
2446,2447,sliced-cheese,rolls/buns,cream,shopping-bags,meat,male-cosmetics
2447,2448,liqueur,prosecco,shopping-bags,berries,pork,napkins
2448,2449,pet-care,misc.-beverages,red/blush-wine,fruit/vegetable-juice,napkins,liquor
2449,2450,detergent,photo/film,chicken,liver-loaf,frozen-meals,semi-finished-bread
2450,2451,shopping-bags,male-cosmetics,beverages,liquor,brown-bread,specialty-bar
2451,2452,canned-fruit,liqueur,canned-beer,white-wine,brandy,specialty-chocolate
2452,2453,house-keeping-products,liquor,pet-care,photo/film,hygiene-articles,dishes
2453,2454,dessert,processed-cheese,ham,sweet-spreads,specialty-vegetables,tea
2454,2455,butter-milk,curd,coffee,dessert,hard-cheese,frozen-meals
2455,2456,tropical-fruit,detergent,napkins,pip-fruit,other-vegetables,butter
2456,2457,chocolate-marshmallow,male-cosmetics,liquor-(appetizer),sound-storage-medium,chocolate,specialty-chocolate
2457,2458,ice-cream,shopping-bags,instant-coffee,male-cosmetics,bathroom-cleaner,white-wine
2458,2459,specialty-bar,long-life-bakery-product,curd,cream-cheese-,spread-cheese,berries
2459,2460,popcorn,berries,cat-food,UHT-milk,root-vegetables,frozen-fish
2460,2461,berries,chocolate-marshmallow,pudding-powder,baking-powder,sound-storage-medium,frozen-fruits
2461,2462,long-life-bakery-product,other-vegetables,curd,sweet-spreads,frozen-vegetables,roll-products-
2462,2463,specialty-bar,chocolate,shopping-bags,waffles,beverages,sausage
2463,2464,canned-beer,chewing-gum,ice-cream,specialty-bar,shopping-bags,misc.-beverages
2464,2465,male-cosmetics,hygiene-articles,tropical-fruit,photo/film,citrus-fruit,margarine
2465,2466,yogurt,other-vegetables,domestic-eggs,butter,berries,nuts/prunes
2466,2467,cereals,curd,domestic-eggs,pot-plants,butter,pastry
2467,2468,salt,beef,frankfurter,domestic-eggs,butter,yogurt
2468,2469,processed-cheese,pudding-powder,cooking-chocolate,hard-cheese,long-life-bakery-product,cream
2469,2470,brown-bread,sweet-spreads,waffles,beverages,popcorn,processed-cheese
2470,2471,canned-beer,chewing-gum,ice-cream,specialty-bar,shopping-bags,misc.-beverages
2471,2472,red/blush-wine,bottled-beer,sweet-spreads,cat-food,popcorn,sausage
2472,2473,sparkling-wine,bottled-beer,condensed-milk,misc.-beverages,UHT-milk,white-wine
2473,2474,dessert,newspapers,white-wine,pet-care,chewing-gum,ice-cream
2474,2475,dish-cleaner,pasta,herbs,house-keeping-products,rubbing-alcohol,rum
2475,2476,pastry,shopping-bags,spread-cheese,canned-beer,chewing-gum,white-wine
2476,2477,rubbing-alcohol,rum,flower-(seeds),organic-sausage,jam,specialty-fat
2477,2478,nuts/prunes,female-sanitary-products,cling-film/bags,candy,waffles,detergent
2478,2479,onions,fruit/vegetable-juice,long-life-bakery-product,tropical-fruit,citrus-fruit,root-vegetables
2479,2480,coffee,dessert,brown-bread,specialty-chocolate,beverages,specialty-bar
2480,2481,processed-cheese,ham,sweet-spreads,specialty-vegetables,sparkling-wine,sound-storage-medium
2481,2482,frozen-fish,beef,chocolate-marshmallow,roll-products-,chicken,ketchup
2482,2483,rubbing-alcohol,photo/film,decalcifier,house-keeping-products,canned-fruit,dish-cleaner
2483,2484,curd,cream-cheese-,spread-cheese,berries,soft-cheese,beverages
2484,2485,liquor,white-wine,canned-beer,prosecco,liquor-(appetizer),brandy
2485,2486,berries,curd,instant-coffee,cream-cheese-,soft-cheese,whole-milk
2486,2487,kitchen-towels,cling-film/bags,sugar,seasonal-products,jam,root-vegetables
2487,2488,candles,potato-products,specialty-bar,waffles,semi-finished-bread,chocolate
2488,2489,spread-cheese,liqueur,sausage,beverages,frankfurter,newspapers
2489,2490,domestic-eggs,hygiene-articles,curd,tropical-fruit,pip-fruit,other-vegetables
2490,2491,cling-film/bags,nut-snack,kitchen-towels,UHT-milk,sparkling-wine,seasonal-products
2491,2492,candles,turkey,waffles,grapes,brown-bread,frankfurter
2492,2493,roll-products-,vinegar,herbs,detergent,ketchup,pasta
2493,2494,yogurt,tropical-fruit,other-vegetables,beef,domestic-eggs,butter
2494,2495,potato-products,mustard,pickled-vegetables,frozen-potato-products,artif.-sweetener,nut-snack
2495,2496,sliced-cheese,rolls/buns,cream,shopping-bags,meat,male-cosmetics
2496,2497,root-vegetables,onions,dishes,pork,specialty-cheese,chicken
2497,2498,turkey,rum,pot-plants,rubbing-alcohol,frozen-dessert,shopping-bags
2498,2499,tea,grapes,butter-milk,white-bread,semi-finished-bread,beverages
2499,2500,beef,sugar,other-vegetables,whole-milk,packaged-fruit/vegetables,curd
2500,2501,canned-beer,chewing-gum,ice-cream,specialty-bar,shopping-bags,misc.-beverages
2501,2502,meat-spreads,frankfurter,soda,shopping-bags,meat,spread-cheese
2502,2503,potato-products,frozen-meals,pickled-vegetables,cookware,condensed-milk,butter-milk
2503,2504,white-wine,male-cosmetics,bottled-beer,UHT-milk,misc.-beverages,soda
2504,2505,domestic-eggs,pip-fruit,tropical-fruit,oil,butter,yogurt
2505,2506,hard-cheese,sliced-cheese,herbs,packaged-fruit/vegetables,jam,rice
2506,2507,flour,salt,baking-powder,male-cosmetics,liquor-(appetizer),coffee
2507,2508,pip-fruit,onions,yogurt,grapes,frozen-vegetables,domestic-eggs
2508,2509,salt,baking-powder,condensed-milk,misc.-beverages,rice,margarine
2509,2510,instant-coffee,curd-cheese,spread-cheese,pet-care,light-bulbs,sausage
2510,2511,UHT-milk,spread-cheese,male-cosmetics,hygiene-articles,honey,light-bulbs
2511,2512,organic-products,snack-products,candy,toilet-cleaner,frankfurter,sausage
2512,2513,candles,pip-fruit,female-sanitary-products,UHT-milk,beef,tropical-fruit
2513,2514,beverages,hygiene-articles,pip-fruit,frankfurter,bottled-water,other-vegetables
2514,2515,kitchen-towels,condensed-milk,pet-care,sound-storage-medium,female-sanitary-products,cling-film/bags
2515,2516,chocolate-marshmallow,sound-storage-medium,pudding-powder,chocolate,specialty-chocolate,nut-snack
2516,2517,butter-milk,meat,beverages,dishes,waffles,soda
2517,2518,liquor,red/blush-wine,prosecco,liquor-(appetizer),tea,white-wine
2518,2519,sausage,specialty-chocolate,white-wine,coffee,chewing-gum,instant-coffee
2519,2520,decalcifier,softener,condensed-milk,meat,rolls/buns,spices
2520,2521,instant-coffee,canned-beer,sausage,spread-cheese,chewing-gum,shopping-bags
2521,2522,bottled-beer,misc.-beverages,fruit/vegetable-juice,chewing-gum,ice-cream,rolls/buns
2522,2523,jam,whisky,cookware,prosecco,salad-dressing,zwieback
2523,2524,hygiene-articles,dishes,light-bulbs,photo/film,decalcifier,tea
2524,2525,sound-storage-medium,sweet-spreads,liquor-(appetizer),potato-products,soda,semi-finished-bread
2525,2526,mustard,meat,pastry,nuts/prunes,skin-care,canned-fish
2526,2527,frankfurter,sliced-cheese,meat,meat-spreads,herbs,whole-milk
2527,2528,pastry,coffee,canned-beer,specialty-chocolate,spread-cheese,white-wine
2528,2529,root-vegetables,onions,dishes,pork,specialty-cheese,chicken
2529,2530,frankfurter,beverages,shopping-bags,soda,semi-finished-bread,grapes
2530,2531,frankfurter,waffles,soda,beverages,chocolate,specialty-bar
2531,2532,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
2532,2533,onions,cream-cheese-,butter,root-vegetables,margarine,berries
2533,2534,chocolate,waffles,specialty-chocolate,rubbing-alcohol,house-keeping-products,cereals
2534,2535,specialty-fat,rice,chicken,meat-spreads,rubbing-alcohol,rum
2535,2536,chewing-gum,hygiene-articles,tropical-fruit,cream-cheese-,rum,red/blush-wine
2536,2537,liquor,red/blush-wine,prosecco,liquor-(appetizer),tea,white-wine
2537,2538,frozen-vegetables,frozen-fish,cat-food,beef,sausage,pip-fruit
2538,2539,male-cosmetics,ready-soups,whisky,bottled-beer,nuts/prunes,UHT-milk
2539,2540,meat,butter,cereals,margarine,pastry,hygiene-articles
2540,2541,cake-bar,popcorn,misc.-beverages,white-wine,specialty-chocolate,salty-snack
2541,2542,beverages,semi-finished-bread,frankfurter,grapes,butter-milk,shopping-bags
2542,2543,beverages,frankfurter,tropical-fruit,butter-milk,cream-cheese-,curd
2543,2544,packaged-fruit/vegetables,frozen-vegetables,cat-food,newspapers,grapes,pork
2544,2545,nuts/prunes,ice-cream,instant-coffee,cereals,curd,domestic-eggs
2545,2546,instant-coffee,specialty-bar,waffles,specialty-chocolate,sausage,candy
2546,2547,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
2547,2548,brandy,other-vegetables,tropical-fruit,margarine,cream-cheese-,dishes
2548,2549,shopping-bags,whipped/sour-cream,berries,pork,napkins,hygiene-articles
2549,2550,herbs,chicken,pork,packaged-fruit/vegetables,rice,pickled-vegetables
2550,2551,whipped/sour-cream,domestic-eggs,cream-cheese-,turkey,rolls/buns,sliced-cheese
2551,2552,liquor,prosecco,curd,cream-cheese-,spread-cheese,berries
2552,2553,ketchup,misc.-beverages,tea,dish-cleaner,chocolate-marshmallow,pasta
2553,2554,domestic-eggs,berries,whole-milk,soft-cheese,tropical-fruit,napkins
2554,2555,curd,berries,butter,baking-powder,domestic-eggs,other-vegetables
2555,2556,beef,herbs,instant-coffee,other-vegetables,pork,oil
2556,2557,frozen-fish,beef,chocolate-marshmallow,roll-products-,chicken,ketchup
2557,2558,condensed-milk,cling-film/bags,kitchen-towels,UHT-milk,sparkling-wine,seasonal-products
2558,2559,candy,specialty-bar,canned-beer,chocolate-marshmallow,white-wine,bottled-beer
2559,2560,spread-cheese,white-wine,chewing-gum,misc.-beverages,pastry,red/blush-wine
2560,2561,bags,brown-bread,candy,margarine,butter-milk,hygiene-articles
2561,2562,baby-food,liqueur,organic-sausage,potato-products,canned-fruit,hair-spray
2562,2563,frozen-dessert,frozen-fish,ready-soups,skin-care,beef,candles
2563,2564,cream-cheese-,dessert,cereals,whipped/sour-cream,whole-milk,liver-loaf
2564,2565,condensed-milk,sparkling-wine,cling-film/bags,make-up-remover,misc.-beverages,salty-snack
2565,2566,napkins,curd,berries,instant-coffee,bottled-water,fruit/vegetable-juice
2566,2567,canned-beer,chewing-gum,ice-cream,specialty-bar,shopping-bags,misc.-beverages
2567,2568,cereals,yogurt,pastry,dessert,whipped/sour-cream,meat
2568,2569,liquor,red/blush-wine,prosecco,liquor-(appetizer),tea,white-wine
2569,2570,vinegar,roll-products-,dog-food,pudding-powder,dish-cleaner,ketchup
2570,2571,Instant-food-products,canned-vegetables,sauces,pasta,pip-fruit,grapes
2571,2572,spread-cheese,sausage,instant-coffee,bottled-water,beverages,pastry
2572,2573,beef,other-vegetables,chicken,root-vegetables,canned-fruit,tropical-fruit
2573,2574,rice,condensed-milk,pickled-vegetables,margarine,butter-milk,frozen-meals
2574,2575,canned-beer,white-wine,spread-cheese,chewing-gum,liquor,misc.-beverages
2575,2576,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
2576,2577,cling-film/bags,instant-coffee,chewing-gum,detergent,specialty-chocolate,pork
2577,2578,root-vegetables,pickled-vegetables,berries,jam,domestic-eggs,pip-fruit
2578,2579,spread-cheese,sausage,beverages,frankfurter,newspapers,soft-cheese
2579,2580,chocolate,waffles,specialty-chocolate,rubbing-alcohol,house-keeping-products,cereals
2580,2581,soft-cheese,whole-milk,frankfurter,beverages,sliced-cheese,domestic-eggs
2581,2582,candles,potato-products,specialty-bar,waffles,semi-finished-bread,chocolate
2582,2583,sliced-cheese,rolls/buns,brown-bread,tropical-fruit,pastry,pip-fruit
2583,2584,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
2584,2585,condensed-milk,dishes,tea,UHT-milk,seasonal-products,spices
2585,2586,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
2586,2587,baby-food,canned-beer,chewing-gum,ice-cream,specialty-bar,shopping-bags
2587,2588,newspapers,soda,butter-milk,brown-bread,margarine,pot-plants
2588,2589,beef,sausage,frankfurter,meat,newspapers,whole-milk
2589,2590,oil,herbs,pork,onions,butter,chicken
2590,2591,shopping-bags,whipped/sour-cream,berries,pork,napkins,hygiene-articles
2591,2592,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
2592,2593,liquor,red/blush-wine,prosecco,liquor-(appetizer),tea,white-wine
2593,2594,berries,other-vegetables,oil,beef,onions,dishes
2594,2595,pip-fruit,semi-finished-bread,yogurt,pot-plants,citrus-fruit,curd
2595,2596,flour,salt,baking-powder,spices,frozen-vegetables,softener
2596,2597,rum,Instant-food-products,butter-milk,soft-cheese,beef,turkey
2597,2598,curd,cream-cheese-,spread-cheese,berries,soft-cheese,beverages
2598,2599,packaged-fruit/vegetables,detergent,onions,bottled-beer,UHT-milk,grapes
2599,2600,soda,sliced-cheese,frankfurter,coffee,beverages,chewing-gum
2600,2601,ham,sauces,processed-cheese,sweet-spreads,specialty-vegetables,sparkling-wine
2601,2602,chocolate,waffles,specialty-chocolate,rubbing-alcohol,house-keeping-products,cereals
2602,2603,spices,frozen-vegetables,softener,packaged-fruit/vegetables,skin-care,pork
2603,2604,pickled-vegetables,root-vegetables,yogurt,jam,domestic-eggs,other-vegetables
2604,2605,liquor,mayonnaise,ketchup,red/blush-wine,prosecco,liquor-(appetizer)
2605,2606,canned-beer,white-wine,brandy,specialty-chocolate,liquor,coffee
2606,2607,frankfurter,beverages,shopping-bags,semi-finished-bread,sausage,grapes
2607,2608,red/blush-wine,liquor,frozen-dessert,ready-soups,bottled-water,white-wine
2608,2609,cereals,curd,domestic-eggs,pot-plants,butter,pastry
2609,2610,roll-products-,flour,nuts/prunes,salt,baking-powder,liquor-(appetizer)
2610,2611,Instant-food-products,sauces,canned-vegetables,nuts/prunes,pasta,tropical-fruit
2611,2612,chocolate,dishes,hygiene-articles,light-bulbs,grapes,turkey
2612,2613,soft-cheese,whole-milk,margarine,meat,butter,meat-spreads
2613,2614,Instant-food-products,instant-coffee,sauces,pasta,liquor-(appetizer),canned-vegetables
2614,2615,whipped/sour-cream,butter,margarine,yogurt,meat,liver-loaf
2615,2616,specialty-bar,shopping-bags,waffles,chocolate,semi-finished-bread,beverages
2616,2617,spread-cheese,shopping-bags,pastry,instant-coffee,canned-beer,sliced-cheese
2617,2618,liver-loaf,frozen-dessert,instant-coffee,chicken,frozen-chicken,packaged-fruit/vegetables
2618,2619,margarine,soda,white-wine,spread-cheese,bottled-beer,canned-beer
2619,2620,margarine,hygiene-articles,citrus-fruit,tea,softener,butter
2620,2621,cat-food,bathroom-cleaner,jam,chewing-gum,salad-dressing,dog-food
2621,2622,beef,other-vegetables,frankfurter,newspapers,domestic-eggs,sausage
2622,2623,brown-bread,waffles,pip-fruit,frankfurter,beef,other-vegetables
2623,2624,sausage,shopping-bags,chewing-gum,canned-beer,pastry,spread-cheese
2624,2625,semi-finished-bread,beverages,softener,grapes,tropical-fruit,brown-bread
2625,2626,frankfurter,sausage,spread-cheese,newspapers,soda,tidbits
2626,2627,meat-spreads,Instant-food-products,ketchup,tidbits,mayonnaise,salt
2627,2628,tidbits,baby-food,curd-cheese,frozen-chicken,frankfurter,sausage
2628,2629,canned-vegetables,salt,vinegar,spices,jam,root-vegetables
2629,2630,Instant-food-products,meat,butter,yogurt,soft-cheese,oil
2630,2631,condensed-milk,cling-film/bags,kitchen-towels,UHT-milk,sparkling-wine,seasonal-products
2631,2632,seasonal-products,cling-film/bags,packaged-fruit/vegetables,pork,detergent,flower-(seeds)
2632,2633,cake-bar,seasonal-products,popcorn,cereals,coffee,canned-fruit
2633,2634,canned-vegetables,onions,whole-milk,citrus-fruit,pickled-vegetables,mustard
2634,2635,tropical-fruit,yogurt,other-vegetables,cream-cheese-,tea,chewing-gum
2635,2636,curd-cheese,pet-care,pip-fruit,semi-finished-bread,yogurt,pot-plants
2636,2637,UHT-milk,canned-beer,fruit/vegetable-juice,spread-cheese,bottled-beer,misc.-beverages
2637,2638,cereals,curd,domestic-eggs,pot-plants,butter,pastry
2638,2639,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
2639,2640,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
2640,2641,canned-beer,chewing-gum,sausage,specialty-bar,white-wine,spread-cheese
2641,2642,pastry,pork,meat,frozen-vegetables,chewing-gum,specialty-cheese
2642,2643,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
2643,2644,flour,margarine,male-cosmetics,whisky,bottled-beer,UHT-milk
2644,2645,tea,frozen-fish,bottled-water,cereals,misc.-beverages,frozen-dessert
2645,2646,specialty-bar,snack-products,tidbits,chocolate,candy,canned-beer
2646,2647,instant-coffee,frankfurter,semi-finished-bread,liver-loaf,waffles,soda
2647,2648,spread-cheese,frankfurter,nuts/prunes,soda,meat,beverages
2648,2649,mustard,canned-fish,frankfurter,sausage,spread-cheese,newspapers
2649,2650,frankfurter,sausage,spread-cheese,newspapers,soda,tidbits
2650,2651,frozen-fish,semi-finished-bread,chicken,bags,specialty-fat,liqueur
2651,2652,sugar,root-vegetables,oil,pip-fruit,domestic-eggs,onions
2652,2653,cookware,liqueur,shopping-bags,berries,pork,napkins
2653,2654,hygiene-articles,dishes,light-bulbs,photo/film,decalcifier,house-keeping-products
2654,2655,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
2655,2656,ice-cream,liquor-(appetizer),instant-coffee,canned-beer,specialty-bar,shopping-bags
2656,2657,liquor,brandy,red/blush-wine,prosecco,light-bulbs,tea
2657,2658,Instant-food-products,dishes,meat,frankfurter,sliced-cheese,cat-food
2658,2659,liquor,white-wine,red/blush-wine,prosecco,flower-soil/fertilizer,baby-cosmetics
2659,2660,shopping-bags,liqueur,red/blush-wine,white-wine,frankfurter,sausage
2660,2661,ice-cream,condensed-milk,specialty-vegetables,popcorn,kitchen-towels,pot-plants
2661,2662,rolls/buns,beef,other-vegetables,fruit/vegetable-juice,bottled-water,instant-coffee
2662,2663,soda,spread-cheese,grapes,tropical-fruit,canned-beer,frankfurter
2663,2664,white-wine,spread-cheese,chewing-gum,red/blush-wine,male-cosmetics,misc.-beverages
2664,2665,frankfurter,newspapers,pastry,sausage,margarine,domestic-eggs
2665,2666,dishes,photo/film,liver-loaf,cat-food,turkey,long-life-bakery-product
2666,2667,whisky,spread-cheese,frankfurter,soda,sliced-cheese,nuts/prunes
2667,2668,herbs,onions,domestic-eggs,rice,oil,chicken
2668,2669,pip-fruit,grapes,chocolate-marshmallow,semi-finished-bread,citrus-fruit,sound-storage-medium
2669,2670,Instant-food-products,sweet-spreads,sauces,whisky,pasta,male-cosmetics
2670,2671,pastry,bottled-water,fruit/vegetable-juice,instant-coffee,dessert,rolls/buns
2671,2672,canned-beer,chewing-gum,ice-cream,specialty-bar,shopping-bags,misc.-beverages
2672,2673,sweet-spreads,potato-products,dessert,sound-storage-medium,cocoa-drinks,candles
2673,2674,root-vegetables,onions,dishes,pork,specialty-cheese,chicken
2674,2675,pot-plants,brown-bread,long-life-bakery-product,white-bread,dessert,yogurt
2675,2676,nuts/prunes,candles,potato-products,liquor-(appetizer),specialty-bar,waffles
2676,2677,popcorn,male-cosmetics,liquor-(appetizer),nut-snack,ice-cream,kitchen-towels
2677,2678,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
2678,2679,cling-film/bags,nut-snack,kitchen-towels,UHT-milk,sparkling-wine,seasonal-products
2679,2680,berries,fruit/vegetable-juice,other-vegetables,napkins,butter,white-bread
2680,2681,meat-spreads,liver-loaf,canned-fish,tea,vinegar,butter-milk
2681,2682,roll-products-,flour,beef,salt,frozen-fish,soups
2682,2683,specialty-bar,shopping-bags,waffles,chocolate,semi-finished-bread,beverages
2683,2684,chicken,oil,tropical-fruit,grapes,house-keeping-products,flower-(seeds)
2684,2685,sweet-spreads,potato-products,specialty-chocolate,dessert,baby-food,sound-storage-medium
2685,2686,misc.-beverages,bottled-water,candy,salty-snack,make-up-remover,dessert
2686,2687,meat-spreads,waffles,butter-milk,liver-loaf,specialty-chocolate,specialty-bar
2687,2688,baking-powder,oil,specialty-fat,butter,flour,salt
2688,2689,spread-cheese,white-wine,rolls/buns,misc.-beverages,male-cosmetics,UHT-milk
2689,2690,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
2690,2691,herbs,beef,onions,pork,chicken,roll-products-
2691,2692,specialty-bar,shopping-bags,waffles,chocolate,semi-finished-bread,beverages
2692,2693,condensed-milk,liquor,sparkling-wine,canned-beer,bottled-beer,frankfurter
2693,2694,frankfurter,sausage,spread-cheese,newspapers,soda,tidbits
2694,2695,meat,pastry,nuts/prunes,sliced-cheese,spread-cheese,candy
2695,2696,shopping-bags,spread-cheese,specialty-bar,beverages,frankfurter,waffles
2696,2697,red/blush-wine,bottled-beer,citrus-fruit,beverages,whipped/sour-cream,berries
2697,2698,spread-cheese,sausage,beverages,frankfurter,newspapers,soft-cheese
2698,2699,canned-beer,spread-cheese,meat,sausage,soda,white-wine
2699,2700,chicken,beef,frozen-fish,frozen-dessert,processed-cheese,sliced-cheese
2700,2701,candy,waffles,chocolate-marshmallow,nuts/prunes,long-life-bakery-product,finished-products
2701,2702,liquor-(appetizer),liquor,red/blush-wine,prosecco,nuts/prunes,tea
2702,2703,yogurt,domestic-eggs,butter,pip-fruit,root-vegetables,frankfurter
2703,2704,liquor-(appetizer),ice-cream,canned-fruit,canned-beer,white-wine,rubbing-alcohol
2704,2705,rolls/buns,instant-coffee,meat,fruit/vegetable-juice,onions,chicken
2705,2706,liquor,tea,red/blush-wine,prosecco,liquor-(appetizer),cookware
2706,2707,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
2707,2708,chewing-gum,shopping-bags,ice-cream,root-vegetables,canned-beer,chicken
2708,2709,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
2709,2710,pork,sausage,newspapers,chocolate,bottled-water,dishes
